PheCode	Number of cases	Number of controls	Number of excluded controls	Phenotype Description	Phenotype Category	url_sum	URL QQ Plot	URL-QQPlot	URL Manhattan Plot	URL-ManhattanPlot
041.1	"3,149"	"393,897"	"11,915"	Staphylococcus infections	infectious diseases	wget https://www.dropbox.com/s/838o7jong5chm1i/PheCode_041.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/ni8h4dh34qvhdhu/041.1-Staphylococcusinfections-3149cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/ni8h4dh34qvhdhu/041.1-Staphylococcusinfections-3149cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/i4d4uda2qu4wh4i/041.1-Staphylococcusinfections-3149cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/i4d4uda2qu4wh4i/041.1-Staphylococcusinfections-3149cases-393897controls.mh.pdf?dl=0
041.2	"1,644"	"393,897"	"13,420"	Streptococcus infection	infectious diseases	wget https://www.dropbox.com/s/nts3hgfml5ch3kf/PheCode_041.2_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/83udnaqdat2ynqr/041.2-Streptococcusinfection-1644cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/83udnaqdat2ynqr/041.2-Streptococcusinfection-1644cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/rif68dxk1rw2ie5/041.2-Streptococcusinfection-1644cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/rif68dxk1rw2ie5/041.2-Streptococcusinfection-1644cases-393897controls.mh.pdf?dl=0
041.4	"2,744"	"393,897"	"12,320"	E. coli	infectious diseases	wget https://www.dropbox.com/s/11ovvij3p9y6co8/PheCode_041.4_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/6y4ith6oghal8z0/041.4-E.coli-2744cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/6y4ith6oghal8z0/041.4-E.coli-2744cases-393897controls.qq.pdf?dl=0	https://www.dropbox.com/s/568pnucwgbbcd0m/041.4-E.coli-2744cases-393897controls.mh.pdf?dl=0	https://www.dropbox.com/s/568pnucwgbbcd0m/041.4-E.coli-2744cases-393897controls.mh.pdf?dl=0
053	421	"403,316"	"5,224"	Herpes zoster	infectious diseases	wget https://www.dropbox.com/s/75wclwn4n51f31a/PheCode_053_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/hgjr2k0wqkkshi2/053-Herpeszoster-421cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/hgjr2k0wqkkshi2/053-Herpeszoster-421cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/bxu61r7pe6kncnk/053-Herpeszoster-421cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/bxu61r7pe6kncnk/053-Herpeszoster-421cases-403316controls.mh.pdf?dl=0
053.1	96	"403,316"	"5,549"	Herpes zoster with nervous system complications	infectious diseases	wget https://www.dropbox.com/s/3xaikt8xgjn0e83/PheCode_053.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/2t18noxtpt2h9ga/053.1-Herpeszosterwithnervoussystemcomplications-96cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/2t18noxtpt2h9ga/053.1-Herpeszosterwithnervoussystemcomplications-96cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/72qxk6xpz8tqmul/053.1-Herpeszosterwithnervoussystemcomplications-96cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/72qxk6xpz8tqmul/053.1-Herpeszosterwithnervoussystemcomplications-96cases-403316controls.mh.pdf?dl=0
054	214	"403,316"	"5,431"	Herpes simplex	infectious diseases	wget https://www.dropbox.com/s/2rf43h6g4xw1f4s/PheCode_054_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/dg9fk3ja0gxyasr/054-Herpessimplex-214cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/dg9fk3ja0gxyasr/054-Herpessimplex-214cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/94jgadfr0qw4w4f/054-Herpessimplex-214cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/94jgadfr0qw4w4f/054-Herpessimplex-214cases-403316controls.mh.pdf?dl=0
070	"1,215"	"403,316"	"4,430"	Viral hepatitis	infectious diseases	wget https://www.dropbox.com/s/963s0o7k4bw8yd9/PheCode_070_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/n8xgagbgupw0xqy/070-Viralhepatitis-1215cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/n8xgagbgupw0xqy/070-Viralhepatitis-1215cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/s699jn1hp963bua/070-Viralhepatitis-1215cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/s699jn1hp963bua/070-Viralhepatitis-1215cases-403316controls.mh.pdf?dl=0
070.1	69	"403,316"	"5,576"	Viral hepatitis A	infectious diseases	wget https://www.dropbox.com/s/67efhyveu3ruzld/PheCode_070.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/pxq6q6zb27kkiy3/070.1-ViralhepatitisA-69cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/pxq6q6zb27kkiy3/070.1-ViralhepatitisA-69cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/pxs4i0a2rzwdvni/070.1-ViralhepatitisA-69cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/pxs4i0a2rzwdvni/070.1-ViralhepatitisA-69cases-403316controls.mh.pdf?dl=0
070.2	132	"403,316"	"5,513"	Viral hepatitis B	infectious diseases	wget https://www.dropbox.com/s/fxaw30dk52n36th/PheCode_070.2_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/1v9gb8ir9tl9u5u/070.2-ViralhepatitisB-132cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/1v9gb8ir9tl9u5u/070.2-ViralhepatitisB-132cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/pvy5zhq0awc96gc/070.2-ViralhepatitisB-132cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/pvy5zhq0awc96gc/070.2-ViralhepatitisB-132cases-403316controls.mh.pdf?dl=0
070.3	255	"403,316"	"5,390"	Viral hepatitis C	infectious diseases	wget https://www.dropbox.com/s/jkgi2s4p51zuwzr/PheCode_070.3_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/5qyuna43pqloxby/070.3-ViralhepatitisC-255cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/5qyuna43pqloxby/070.3-ViralhepatitisC-255cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/o4qcv65hau426xw/070.3-ViralhepatitisC-255cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/o4qcv65hau426xw/070.3-ViralhepatitisC-255cases-403316controls.mh.pdf?dl=0
070.4	277	"403,316"	"5,368"	Chronic hepatitis	infectious diseases	wget https://www.dropbox.com/s/y8uvkpxka5uty1m/PheCode_070.4_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/ppstx2ke5c07frl/070.4-Chronichepatitis-277cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/ppstx2ke5c07frl/070.4-Chronichepatitis-277cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/j6fftm05xawf8ew/070.4-Chronichepatitis-277cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/j6fftm05xawf8ew/070.4-Chronichepatitis-277cases-403316controls.mh.pdf?dl=0
070.9	428	"403,316"	"5,217"	Hepatitis NOS	infectious diseases	wget https://www.dropbox.com/s/wg4b9pwwe26opqc/PheCode_070.9_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/9bu1eeuxvapi5dl/070.9-HepatitisNOS-428cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/9bu1eeuxvapi5dl/070.9-HepatitisNOS-428cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/23upwkb5nhv24bn/070.9-HepatitisNOS-428cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/23upwkb5nhv24bn/070.9-HepatitisNOS-428cases-403316controls.mh.pdf?dl=0
071	143	"403,316"	"5,502"	Human immunodeficiency virus [HIV] disease	infectious diseases	wget https://www.dropbox.com/s/moinfit4w25t7zj/PheCode_071_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/4qaj5upu0x0jv67/071-Humanimmunodeficiencyvirus-HIV-disease-143cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/4qaj5upu0x0jv67/071-Humanimmunodeficiencyvirus-HIV-disease-143cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/zobqvdsjb465ty2/071-Humanimmunodeficiencyvirus-HIV-disease-143cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/zobqvdsjb465ty2/071-Humanimmunodeficiencyvirus-HIV-disease-143cases-403316controls.mh.pdf?dl=0
071.1	113	"403,316"	"5,532"	"HIV infection, symptomatic"	infectious diseases	wget https://www.dropbox.com/s/cy5jzbl7gvupzsa/PheCode_071.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/265zw4dciqw0w69/071.1-HIVinfection-symptomatic-113cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/265zw4dciqw0w69/071.1-HIVinfection-symptomatic-113cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/8bolxkiy9u6fvmg/071.1-HIVinfection-symptomatic-113cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/8bolxkiy9u6fvmg/071.1-HIVinfection-symptomatic-113cases-403316controls.mh.pdf?dl=0
078	"1,007"	"403,316"	"4,638"	Viral warts & HPV	infectious diseases	wget https://www.dropbox.com/s/u6rvvtr1hmc1edh/PheCode_078_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/urpodl40h33cne6/078-ViralwartsHPV-1007cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/urpodl40h33cne6/078-ViralwartsHPV-1007cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/n8znhzze7bv9umz/078-ViralwartsHPV-1007cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/n8znhzze7bv9umz/078-ViralwartsHPV-1007cases-403316controls.mh.pdf?dl=0
079	"2,806"	"403,316"	"2,839"	Viral infection	infectious diseases	wget https://www.dropbox.com/s/kwerkho1v2i9cvi/PheCode_079_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/ct3fsxim38tj9y6/079-Viralinfection-2806cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/ct3fsxim38tj9y6/079-Viralinfection-2806cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/q33w3i0fmas64dw/079-Viralinfection-2806cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/q33w3i0fmas64dw/079-Viralinfection-2806cases-403316controls.mh.pdf?dl=0
079.1	65	"403,316"	"5,580"	Varicella infection	infectious diseases	wget https://www.dropbox.com/s/tp5z7tch7txjpqa/PheCode_079.1_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/jp0il9ua7tptmjt/079.1-Varicellainfection-65cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/jp0il9ua7tptmjt/079.1-Varicellainfection-65cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/m7442rafywfxn7v/079.1-Varicellainfection-65cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/m7442rafywfxn7v/079.1-Varicellainfection-65cases-403316controls.mh.pdf?dl=0
079.2	68	"403,316"	"5,577"	Infectious mononucleosis	infectious diseases	wget https://www.dropbox.com/s/87qoppfo3mue44c/PheCode_079.2_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/cdm9uv3w8f3onfi/079.2-Infectiousmononucleosis-68cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/cdm9uv3w8f3onfi/079.2-Infectiousmononucleosis-68cases-403316controls.qq.pdf?dl=0	https://www.dropbox.com/s/5ebqobnxxstierh/079.2-Infectiousmononucleosis-68cases-403316controls.mh.pdf?dl=0	https://www.dropbox.com/s/5ebqobnxxstierh/079.2-Infectiousmononucleosis-68cases-403316controls.mh.pdf?dl=0
080	"4,489"	"402,343"	"2,129"	Postoperative infection	infectious diseases	wget https://www.dropbox.com/s/me1jiqwmgigmmpk/PheCode_080_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/n27pdu7ozzdb3zo/080-Postoperativeinfection-4489cases-402343controls.qq.pdf?dl=0	https://www.dropbox.com/s/n27pdu7ozzdb3zo/080-Postoperativeinfection-4489cases-402343controls.qq.pdf?dl=0	https://www.dropbox.com/s/783xf918m4n05g8/080-Postoperativeinfection-4489cases-402343controls.mh.pdf?dl=0	https://www.dropbox.com/s/783xf918m4n05g8/080-Postoperativeinfection-4489cases-402343controls.mh.pdf?dl=0
081	"2,485"	"402,343"	"4,133"	Infection/inflammation of internal prosthetic device; implant; and graft	infectious diseases	wget https://www.dropbox.com/s/38pee1udrlrkpbo/PheCode_081_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/3jb1up4mw2y2yla/081-Infectioninflammationofinternalprostheticdevice-implant-andgraft-2485cases-402343controls.qq.pdf?dl=0	https://www.dropbox.com/s/3jb1up4mw2y2yla/081-Infectioninflammationofinternalprostheticdevice-implant-andgraft-2485cases-402343controls.qq.pdf?dl=0	https://www.dropbox.com/s/ggixjqr06nhosi0/081-Infectioninflammationofinternalprostheticdevice-implant-andgraft-2485cases-402343controls.mh.pdf?dl=0	https://www.dropbox.com/s/ggixjqr06nhosi0/081-Infectioninflammationofinternalprostheticdevice-implant-andgraft-2485cases-402343controls.mh.pdf?dl=0
090	73	"408,888"	0	Sexually transmitted infections (not HIV or hepatitis)	infectious diseases	wget https://www.dropbox.com/s/cga1aet5rjcyebv/PheCode_090_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/f2akusgd4fbll4t/090-Sexuallytransmittedinfections-notHIVorhepatitis--73cases-408888controls.qq.pdf?dl=0	https://www.dropbox.com/s/f2akusgd4fbll4t/090-Sexuallytransmittedinfections-notHIVorhepatitis--73cases-408888controls.qq.pdf?dl=0	https://www.dropbox.com/s/74sou5vug0dmls8/090-Sexuallytransmittedinfections-notHIVorhepatitis--73cases-408888controls.mh.pdf?dl=0	https://www.dropbox.com/s/74sou5vug0dmls8/090-Sexuallytransmittedinfections-notHIVorhepatitis--73cases-408888controls.mh.pdf?dl=0
1000	579	"408,382"	0	Burns	injuries & poisonings	wget https://www.dropbox.com/s/qi6mqabronaumep/PheCode_1000_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/zs4g6it0bjgzbjw/1000-Burns-579cases-408382controls.qq.pdf?dl=0	https://www.dropbox.com/s/zs4g6it0bjgzbjw/1000-Burns-579cases-408382controls.qq.pdf?dl=0	https://www.dropbox.com/s/s2kx78mcwwisll2/1000-Burns-579cases-408382controls.mh.pdf?dl=0	https://www.dropbox.com/s/s2kx78mcwwisll2/1000-Burns-579cases-408382controls.mh.pdf?dl=0
1001	"1,210"	"407,751"	0	Foreign body injury	injuries & poisonings	wget https://www.dropbox.com/s/k7ora1ahgtafaot/PheCode_1001_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/tdnoh3eaq02cilb/1001-Foreignbodyinjury-1210cases-407751controls.qq.pdf?dl=0	https://www.dropbox.com/s/tdnoh3eaq02cilb/1001-Foreignbodyinjury-1210cases-407751controls.qq.pdf?dl=0	https://www.dropbox.com/s/wbyqke0f7e605oh/1001-Foreignbodyinjury-1210cases-407751controls.mh.pdf?dl=0	https://www.dropbox.com/s/wbyqke0f7e605oh/1001-Foreignbodyinjury-1210cases-407751controls.mh.pdf?dl=0
1002	"5,512"	"403,449"	0	"Symptoms concerning nutrition, metabolism, and development"	symptoms	wget https://www.dropbox.com/s/fakvd1w0phz1mou/PheCode_1002_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/670vwfoz5g30ocy/1002-Symptomsconcerningnutrition-metabolism-anddevelopment-5512cases-403449controls.qq.pdf?dl=0	https://www.dropbox.com/s/670vwfoz5g30ocy/1002-Symptomsconcerningnutrition-metabolism-anddevelopment-5512cases-403449controls.qq.pdf?dl=0	https://www.dropbox.com/s/g633wpej5a0vyx2/1002-Symptomsconcerningnutrition-metabolism-anddevelopment-5512cases-403449controls.mh.pdf?dl=0	https://www.dropbox.com/s/g633wpej5a0vyx2/1002-Symptomsconcerningnutrition-metabolism-anddevelopment-5512cases-403449controls.mh.pdf?dl=0
1004	301	"408,660"	0	Other signs and symptoms involving emotional state	symptoms	wget https://www.dropbox.com/s/q62mm0lu3tv3dez/PheCode_1004_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/4w4hv3t30trkx5n/1004-Othersignsandsymptomsinvolvingemotionalstate-301cases-408660controls.qq.pdf?dl=0	https://www.dropbox.com/s/4w4hv3t30trkx5n/1004-Othersignsandsymptomsinvolvingemotionalstate-301cases-408660controls.qq.pdf?dl=0	https://www.dropbox.com/s/rdjz3dx5573zkps/1004-Othersignsandsymptomsinvolvingemotionalstate-301cases-408660controls.mh.pdf?dl=0	https://www.dropbox.com/s/rdjz3dx5573zkps/1004-Othersignsandsymptomsinvolvingemotionalstate-301cases-408660controls.mh.pdf?dl=0
1005	"1,222"	"407,739"	0	Other symptoms	symptoms	wget https://www.dropbox.com/s/v1zhc2gb46vjdya/PheCode_1005_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/b2e0dcpr2kkb0w2/1005-Othersymptoms-1222cases-407739controls.qq.pdf?dl=0	https://www.dropbox.com/s/b2e0dcpr2kkb0w2/1005-Othersymptoms-1222cases-407739controls.qq.pdf?dl=0	https://www.dropbox.com/s/30wc7d3ez558ujr/1005-Othersymptoms-1222cases-407739controls.mh.pdf?dl=0	https://www.dropbox.com/s/30wc7d3ez558ujr/1005-Othersymptoms-1222cases-407739controls.mh.pdf?dl=0
1006	258	"408,703"	0	Crushing injury	injuries & poisonings	wget https://www.dropbox.com/s/ere7bzyq737lf58/PheCode_1006_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/tqkioluorrpz4c4/1006-Crushinginjury-258cases-408703controls.qq.pdf?dl=0	https://www.dropbox.com/s/tqkioluorrpz4c4/1006-Crushinginjury-258cases-408703controls.qq.pdf?dl=0	https://www.dropbox.com/s/1lowg26tqew8sdz/1006-Crushinginjury-258cases-408703controls.mh.pdf?dl=0	https://www.dropbox.com/s/1lowg26tqew8sdz/1006-Crushinginjury-258cases-408703controls.mh.pdf?dl=0
1007	249	"408,712"	0	Injury to blood vessels	injuries & poisonings	wget https://www.dropbox.com/s/rbvpkurpm5ipjou/PheCode_1007_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/rgo4lshc1idumy9/1007-Injurytobloodvessels-249cases-408712controls.qq.pdf?dl=0	https://www.dropbox.com/s/rgo4lshc1idumy9/1007-Injurytobloodvessels-249cases-408712controls.qq.pdf?dl=0	https://www.dropbox.com/s/xl0iqecuh9oably/1007-Injurytobloodvessels-249cases-408712controls.mh.pdf?dl=0	https://www.dropbox.com/s/xl0iqecuh9oably/1007-Injurytobloodvessels-249cases-408712controls.mh.pdf?dl=0
1008	"1,007"	"407,954"	0	Crushing or internal injury to organs	injuries & poisonings	wget https://www.dropbox.com/s/rtnqrrdj9dt8nla/PheCode_1008_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/6775y8hpdf642pi/1008-Crushingorinternalinjurytoorgans-1007cases-407954controls.qq.pdf?dl=0	https://www.dropbox.com/s/6775y8hpdf642pi/1008-Crushingorinternalinjurytoorgans-1007cases-407954controls.qq.pdf?dl=0	https://www.dropbox.com/s/fdcksck918ayyc4/1008-Crushingorinternalinjurytoorgans-1007cases-407954controls.mh.pdf?dl=0	https://www.dropbox.com/s/fdcksck918ayyc4/1008-Crushingorinternalinjurytoorgans-1007cases-407954controls.mh.pdf?dl=0
1009	"8,440"	"400,521"	0	"Injury, NOS"	injuries & poisonings	wget https://www.dropbox.com/s/ma74o6stx608z82/PheCode_1009_SAIGE_MACge20.txt.gz	https://www.dropbox.com/s/bvzr71vfbsn5lwu/1009-Injury-NOS-8440cases-400521controls.qq.pdf?dl=0	https://www.dropbox.com/s/bvzr71vfbsn5lwu/1009-Injury-NOS-8440cases-400521controls.qq.pdf?dl=0	https://www.dropbox.com/s/xxu22i6t16864i8/1009-Injury-NOS-8440cases-400521controls.mh.pdf?dl=0	https://www.dropbox.com/s/xxu22i6t16864i8/1009-Injury-NOS-8440cases-400521controls.mh.pdf?dl=0
