Phenotype Code	Phenotype Description	UK Biobank Data Showcase Link	Sex	File	wget command	Dropbox File
100024_raw	Calcium	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100024	both_sexes	100024_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/se6am1leqxsl5xc/100024_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100024_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/se6am1leqxsl5xc/100024_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100025_raw	Vitamin E	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100025	both_sexes	100025_raw.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/uhipugrqxqiq5ic/100025_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100025_raw.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/uhipugrqxqiq5ic/100025_raw.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
1001	Duration of strenuous sports	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1001	both_sexes	1001.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/u3gfkl46doxs8r4/1001.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 1001.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/u3gfkl46doxs8r4/1001.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100150	Drinking water intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100150	both_sexes	100150.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/pmh95bgyqany7gk/100150.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100150.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/pmh95bgyqany7gk/100150.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100160	Low calorie drink intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100160	both_sexes	100160.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/zb8w10u8nk3i4k8/100160.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100160.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/zb8w10u8nk3i4k8/100160.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100170	Fizzy drink intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100170	both_sexes	100170.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/i717tik5o87b8oq/100170.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100170.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/i717tik5o87b8oq/100170.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100190	Orange juice intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100190	both_sexes	100190.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/57fcs03pgixvz5g/100190.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100190.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/57fcs03pgixvz5g/100190.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100240	Coffee consumed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100240	both_sexes	100240.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/6xmvxhufzri7u3w/100240.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100240.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/6xmvxhufzri7u3w/100240.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100250	Instant coffee intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100250	both_sexes	100250.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/6t8mifozaitrqga/100250.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100250.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/6t8mifozaitrqga/100250.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100260	Added milk to instant coffee	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100260	both_sexes	100260.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/fd2w9fsqcpzlvjk/100260.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100260.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/fd2w9fsqcpzlvjk/100260.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100270	Filtered coffee intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100270	both_sexes	100270.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/c0k933e34tqohtz/100270.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100270.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/c0k933e34tqohtz/100270.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100280	Added milk to filtered coffee	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100280	both_sexes	100280.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/3mgcb0xoy391oq1/100280.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100280.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/3mgcb0xoy391oq1/100280.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100360	Decaffeinated coffee	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100360	both_sexes	100360.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/hts7p6tonq04ine/100360.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100360.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/hts7p6tonq04ine/100360.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100370	Intake of sugar added to coffee	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100370	both_sexes	100370.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/s3tsiyurhv3kvwb/100370.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100370.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/s3tsiyurhv3kvwb/100370.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100390	Tea consumed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100390	both_sexes	100390.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/fe3k683gz8tyzfg/100390.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100390.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/fe3k683gz8tyzfg/100390.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100400	Standard tea intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100400	both_sexes	100400.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/lwy8lvt0xhcb4u5/100400.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100400.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/lwy8lvt0xhcb4u5/100400.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100460	Added milk to standard tea	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100460	both_sexes	100460.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/mpyf5svt0sdc6ad/100460.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100460.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/mpyf5svt0sdc6ad/100460.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100520	Milk intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100520	both_sexes	100520.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/98zxar2f2rdxntt/100520.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100520.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/98zxar2f2rdxntt/100520.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100580	Alcohol consumed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100580	both_sexes	100580.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/lr12r8tnqoeutfw/100580.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100580.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/lr12r8tnqoeutfw/100580.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100590	Red wine intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100590	both_sexes	100590.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/5y05v2e1gb9fzph/100590.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100590.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/5y05v2e1gb9fzph/100590.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100630	Rose wine intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100630	both_sexes	100630.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/e9wcqkl3uiatli7/100630.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100630.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/e9wcqkl3uiatli7/100630.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100670	White wine intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100670	both_sexes	100670.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/duby0jlm8mtekp2/100670.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100670.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/duby0jlm8mtekp2/100670.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100710	Beer/cider intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100710	both_sexes	100710.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/kv9ijhvqm6nzwxi/100710.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100710.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/kv9ijhvqm6nzwxi/100710.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100720	Fortified wine intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100720	both_sexes	100720.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/wkfw47lr3fqywvt/100720.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100720.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/wkfw47lr3fqywvt/100720.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100730	Spirits intake	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100730	both_sexes	100730.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/vxvfn3ch53rxe14/100730.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100730.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/vxvfn3ch53rxe14/100730.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100760	Breakfast cereal consumed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100760	both_sexes	100760.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/0ycpwvn04vmsu2d/100760.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100760.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/0ycpwvn04vmsu2d/100760.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100890	Milk added to cereal	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100890	both_sexes	100890.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/3gkrb2hsvlp8luy/100890.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100890.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/3gkrb2hsvlp8luy/100890.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_0	Type milk consumed: did not have milk	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_0.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/inw3ndkii4u61vs/100920_0.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_0.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/inw3ndkii4u61vs/100920_0.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2102	Type milk consumed: semiskimmed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2102.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/zxuf7db4yv5k63g/100920_2102.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2102.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/zxuf7db4yv5k63g/100920_2102.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2103	Type milk consumed: skimmed	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2103.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/w6182jqse7nktuq/100920_2103.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2103.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/w6182jqse7nktuq/100920_2103.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2104	Type milk consumed: wholemilk	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2104.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/fwtnb63hftkqfal/100920_2104.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2104.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/fwtnb63hftkqfal/100920_2104.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2105	Type milk consumed: soya with calcium	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2105.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/04rl4bxvbwoocro/100920_2105.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2105.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/04rl4bxvbwoocro/100920_2105.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2106	Type milk consumed: soya without calcium	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2106.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/r7vyb369rzaecmx/100920_2106.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2106.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/r7vyb369rzaecmx/100920_2106.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2107	Type milk consumed: goat/sheep milk	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2107.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/qa370zc7mqlbwtx/100920_2107.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2107.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/qa370zc7mqlbwtx/100920_2107.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
100920_2108	Type milk consumed: rice/oat/vegetable milk	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100920	both_sexes	100920_2108.gwas.imputed_v3.both_sexes.tsv.bgz	wget https://www.dropbox.com/s/d3gmmaajfva7bqs/100920_2108.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0 -O 100920_2108.gwas.imputed_v3.both_sexes.tsv.bgz	https://www.dropbox.com/s/d3gmmaajfva7bqs/100920_2108.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0
